time,R3_x,R3_y,R3_x_diff,R3_y_diff,R3_x_diff2,R3_y_diff2,R4_x,R4_x_diff,R4_x_diff2,,,
0.510000,7.014420,11.871600,-22.622400,-62.707700,619.778000,24.808400,33.989300,-53.141600,451.548000,,,
0.515000,6.909070,11.558420,-19.517500,-62.552700,622.154000,37.172100,33.729300,-50.867300,458.248000,,,
0.520000,6.819270,11.246200,-16.401200,-62.336000,624.341000,49.499100,33.480700,-48.558460,465.345000,,,
0.525000,6.745080,10.935200,-13.274400,-62.057800,626.353000,61.777300,33.243800,-46.213120,472.864410,,,
0.530000,6.686540,10.625700,-10.137900,-61.718300,628.203000,73.994500,33.018600,-43.829100,480.831000,,,
0.535000,6.643710,10.318100,-6.992610,-61.318000,629.906000,86.138710,32.805500,-41.404000,489.268000,,,
0.540000,6.616630,10.012600,-3.839110,-60.857100,631.475000,98.197900,32.604700,-38.935600,498.198000,,,
0.545000,6.605330,9.709610,-0.678060,-60.336200,632.925000,110.160000,32.416260,-36.421200,507.644000,,,
0.550000,6.609860,9.409360,2.489970,-59.755700,634.268000,122.014000,32.240540,-33.858200,517.624000,,,
0.555000,6.630240,9.112150,5.664470,-59.116200,635.518000,133.747000,32.077800,-31.244000,528.159000,,,
0.560000,6.666510,8.818290,8.845010,-58.418400,636.686000,145.348000,31.928190,-28.575700,539.264000,,,
0.565000,6.718700,8.528060,12.031200,-57.663000,637.783630,156.806000,31.792100,-25.850400,550.953000,,,
0.570000,6.786830,8.241760,15.222700,-56.850600,638.822000,168.109000,31.669800,-23.065200,563.238000,,,
0.575000,6.870940,7.959650,18.419300,-55.982170,639.810120,179.246000,31.561600,-20.217000,576.128000,,,
0.580000,6.971040,7.682030,21.620800,-55.058500,640.755000,190.206000,31.467700,-17.302900,589.626000,,,
0.585000,7.087150,7.409160,24.826800,-54.080400,641.664000,200.978000,31.388600,-14.319700,603.734000,,,
0.590000,7.219310,7.141310,28.037400,-53.049000,642.540000,211.553000,31.324600,-11.264500,618.446000,,,
0.595000,7.367530,6.878750,31.252200,-51.965200,643.384000,221.918000,31.276100,-8.134290,633.753000,,,
0.600000,7.531840,6.621740,34.471100,-50.830200,644.195190,232.064240,31.243400,-4.926050,649.639000,,,
0.605000,7.712250,6.370540,37.694100,-49.645000,644.968750,241.982000,31.227000,-1.636980,666.080200,,,
0.610000,7.908790,6.125380,40.920800,-48.410800,645.696000,251.660080,31.227200,1.735630,683.045000,,,
0.615000,8.121470,5.886510,44.150940,-47.128800,646.366000,261.090240,31.244500,5.194280,700.494000,,,
0.620000,8.350300,5.654170,47.384300,-45.800300,646.960000,270.263000,31.279300,8.741290,718.377000,,,
0.625000,8.595310,5.428580,50.620380,-44.426600,647.457000,279.168000,31.332100,12.378700,736.633240,,,
0.630000,8.856510,5.209970,53.858700,-43.009100,647.830000,287.799000,31.403200,16.108100,755.192000,,,
0.635000,9.133900,4.998560,57.098400,-41.549100,648.045000,296.145000,31.493300,19.931000,773.969000,,,
0.640000,9.427500,4.794550,60.338800,-40.048100,648.063110,304.199000,31.602700,23.848000,792.867000,,,
0.645000,9.737290,4.598140,63.578600,-38.507610,647.838000,311.953000,31.731900,27.859640,811.775000,,,
0.650000,10.063300,4.409540,66.816700,-36.929100,647.316000,319.399000,31.881500,31.965600,830.567000,,,
0.655000,10.405450,4.228910,70.051200,-35.314100,646.438110,326.529000,32.051700,36.164890,849.105530,,,
0.660000,10.763800,4.056450,73.280300,-33.664300,645.137000,333.337860,32.243300,40.455900,867.235000,,,
0.665000,11.138200,3.892330,76.501700,-31.981300,643.337000,339.817000,32.456500,44.836300,884.786000,,,
0.670000,11.528800,3.736690,79.712800,-30.266700,640.960000,345.961000,32.691800,49.302500,901.576660,,,
0.675000,11.935300,3.589710,82.910240,-28.522300,637.916000,351.764000,32.949600,53.850400,917.411000,,,
0.680000,12.357900,3.451520,86.090700,-26.749700,634.115000,357.220000,33.230400,58.474700,932.083000,,,
0.685000,12.796200,3.322260,89.250000,-24.950700,629.457000,362.323000,33.534500,63.169000,945.375000,,,
0.690000,13.250300,3.202050,92.383600,-23.127000,623.843000,367.068000,33.862190,67.925800,957.063000,,,
0.695000,13.720000,3.091020,95.486600,-21.280600,617.169000,371.452000,34.213800,72.736600,966.918000,,,
0.700000,14.205100,2.989280,98.553400,-19.413130,609.331000,375.468140,34.589600,77.591530,974.709000,,,
0.705000,14.705500,2.896920,101.577820,-17.526520,600.227000,379.114000,34.989800,82.479800,980.209000,,,
0.710000,15.220800,2.814040,104.553000,-15.622600,589.757000,382.386200,35.414500,87.389400,983.194000,,,
0.715000,15.750900,2.740720,107.473000,-13.703300,577.828000,385.281000,35.863700,92.307200,983.454000,,,
0.720000,16.295400,2.677030,110.329000,-11.770400,564.352000,387.795000,36.337500,97.219100,980.791000,,,
0.725000,16.854100,2.623040,113.114000,-9.825970,549.252000,389.927000,36.835900,102.109970,975.027000,,,
0.730000,17.426400,2.578790,115.819000,-7.871810,532.463000,391.674000,37.358600,106.964000,966.005000,,,
0.735000,18.012100,2.544330,118.435000,-5.909880,513.932000,393.034000,37.905400,111.764000,953.598000,,,
0.740000,18.610600,2.519700,120.955000,-3.942120,493.623000,394.006000,38.476100,116.494110,937.707000,,,
0.745000,19.221500,2.504920,123.369000,-1.970460,471.514000,394.590000,39.070200,121.136000,918.267000,,,
0.750000,19.844100,2.500000,125.667000,0.003130,447.603790,394.784180,39.687300,125.671000,895.247000,,,
0.755000,20.478000,2.504950,127.842000,1.976730,421.907000,394.589000,40.326700,130.082000,868.654000,,,
0.760000,21.122300,2.519760,129.883000,3.948370,394.457000,394.004000,40.987850,134.351000,838.530000,,,
0.765000,21.776600,2.544430,131.784000,5.916120,365.305000,393.030000,41.670000,138.462000,804.955000,,,
0.770000,22.439900,2.578920,133.534000,7.878030,334.522000,391.669000,42.372200,142.395000,768.043000,,,
0.775000,23.111600,2.623190,135.126000,9.832160,302.193000,389.921000,43.093600,146.137000,727.941000,,,
0.780000,23.790900,2.677220,136.553000,11.776600,268.419000,387.788000,43.833200,149.669830,684.827000,,,
0.785000,24.476900,2.740940,137.808000,13.709400,233.313000,385.272000,44.589900,152.980000,638.903000,,,
0.790000,25.168700,2.814290,138.884000,15.628700,197.001000,382.376000,45.362600,156.055000,590.398000,,,
0.795000,25.865400,2.897200,139.776000,17.532500,159.617000,379.103000,46.150000,158.880000,539.554260,,,
0.800000,26.566100,2.989590,140.479000,19.419090,121.303000,375.456000,46.951000,161.446640,486.633000,,,
0.805000,27.269880,3.091360,140.988000,21.286480,82.204100,371.438000,47.764100,163.744000,431.902000,,,
0.810000,27.975700,3.202420,141.300000,23.132900,42.470200,367.054000,48.587900,165.763000,375.636000,,,
0.815000,28.682500,3.322650,141.412000,24.956400,2.250390,362.307190,49.421200,167.497940,318.112000,,,
0.820000,29.389500,3.451940,141.322000,26.755300,-38.306800,357.203000,50.262400,168.943000,259.603790,,,
0.825000,30.095400,3.590160,141.029000,28.527900,-79.055900,351.746000,51.110200,170.093000,200.380000,,,
0.830000,30.799400,3.737170,140.531000,30.272200,-119.856000,345.943000,51.962900,170.946000,140.701000,,,
0.835000,31.500400,3.892830,139.830000,31.986700,-160.570000,339.797000,52.819100,171.499000,80.817400,,,
0.840000,32.197400,4.056990,138.926000,33.669600,-201.069000,333.317000,53.677400,171.753860,20.967600,,,
0.845000,32.889300,4.229470,137.820000,35.319300,-241.230000,326.507000,54.536200,171.710000,-38.624400,,,
0.850000,33.575200,4.410120,136.514000,36.934170,-280.938690,319.376000,55.393970,171.368000,-97.748900,,,
0.855000,34.254100,4.598760,135.012000,38.512600,-320.087000,311.929000,56.249300,170.733000,-156.212000,,,
0.860000,34.925000,4.795190,133.315000,40.052900,-358.577000,304.174000,57.100800,169.808000,-213.834000,,,
0.865000,35.587000,4.999220,131.427000,41.553800,-396.316000,296.119000,57.946900,168.597000,-270.452000,,,
0.870000,36.239000,5.210660,129.353000,43.013600,-433.222000,287.771790,58.786300,167.105000,-325.918000,,,
0.875000,36.880200,5.429290,127.096000,44.431000,-469.218000,279.141000,59.617500,165.339000,-380.099000,,,
0.880000,37.509700,5.654890,124.662000,45.804600,-504.237000,270.234000,60.439300,163.306000,-432.876000,,,
0.885000,38.126500,5.887260,122.056000,47.132900,-538.216000,261.061000,61.250200,161.013000,-484.142000,,,
0.890000,38.729900,6.126140,119.281960,48.414800,-571.102000,251.629730,62.049000,158.468000,-533.806000,,,
0.895000,39.319100,6.371320,116.347000,49.648800,-602.845000,241.950000,62.834400,155.678000,-581.784000,,,
0.900000,39.893100,6.622550,113.255000,50.833900,-633.402000,232.032000,63.605400,152.653000,-628.007000,,,
0.905000,40.451400,6.879580,110.015000,51.968800,-662.736000,221.885000,64.360600,149.401000,-672.414000,,,
0.910000,40.993100,7.142150,106.630000,53.052400,-690.814000,211.519000,65.099000,145.932000,-714.953000,,,
0.915000,41.517500,7.410020,103.108620,54.083600,-717.608000,200.944550,65.819600,142.255000,-755.581000,,,
0.920000,42.023900,7.682900,99.456300,55.061500,-743.093000,190.171000,66.521200,138.379000,-794.264000,,,
0.925000,42.511810,7.960540,95.679900,55.985000,-767.250000,179.211000,67.203000,134.315000,-830.971130,,,
0.930000,42.980500,8.242660,91.786100,56.853300,-790.060000,168.073000,67.864100,130.073000,-865.681000,,,
0.935000,43.429500,8.528980,87.781600,57.665500,-811.511000,156.770000,68.503500,125.662000,-898.376000,,,
0.940000,43.858200,8.819220,83.673200,58.420700,-831.591000,145.311000,69.120400,121.092000,-929.046000,,,
0.945000,44.266060,9.113090,79.467900,59.118300,-850.292000,133.710000,69.714200,116.375000,-957.682000,,,
0.950000,44.652700,9.410300,75.172600,59.757610,-867.609000,121.976000,70.284000,111.519000,-984.281000,,,
0.955000,45.017600,9.710570,70.794200,60.337900,-883.536000,110.122000,70.829140,106.535000,-1008.840000,,,
0.960000,45.360500,10.013600,66.339600,60.858700,-898.074000,98.159760,71.349100,101.434000,-1031.380000,,,
0.965000,45.680900,10.319100,61.815800,61.319300,-911.222000,86.100300,71.843300,96.224900,-1051.880000,,,
0.970000,45.978600,10.626700,57.229700,61.719500,-922.983000,73.955800,72.311200,90.918500,-1070.380000,,,
0.975000,46.253100,10.936100,52.588230,62.058800,-933.360000,61.738400,72.752300,85.524500,-1086.870000,,,
0.980000,46.504400,11.247200,47.898400,62.336800,-942.360000,49.460000,73.166300,80.053100,-1101.370000,,,
0.985000,46.732000,11.559400,43.166900,62.553300,-949.989000,37.132900,73.552800,74.514100,-1113.910000,,,
0.990000,46.936000,11.872600,38.400700,62.708100,-956.255000,24.769100,73.911400,68.917200,-1124.500000,,,
0.995000,47.116000,12.186400,33.606600,62.800900,-961.169800,12.380800,74.241900,63.272300,-1133.160000,,,
1.000000,47.272000,12.500500,28.791300,62.831900,-964.744000,-0.019690,74.544000,57.588800,-1139.920000,,,
